rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
239,0.5568722549875165,0.010021187784883024,100,3,0.1,0.9,0.7,0.21924433708190919
240,0.5568193740147045,0.008604106585143736,500,5,0.01,0.8,0.8,1.2351836204528808
241,0.556808049143638,0.010512161555852441,100,3,0.05,0.7,0.7,0.20128731727600097
242,0.5568004541206384,0.007510393606483869,200,3,0.05,0.9,0.9,0.3798341751098633
243,0.5567371681598525,0.010459008112896613,100,7,0.01,0.7,0.7,0.3216958999633789
244,0.5565659070906023,0.009802069665196641,100,5,0.05,0.9,0.7,0.24703702926635743
245,0.5565637681941633,0.010670805274535624,100,3,0.05,0.9,0.7,0.21311521530151367
246,0.5565619988605018,0.006511379630541144,500,7,0.1,0.8,0.9,1.5556359767913819
247,0.5564852041911331,0.008068891001796495,200,7,0.01,0.9,0.8,0.9936181545257569
248,0.5563711052669669,0.009548238372814547,100,3,0.05,0.8,0.9,0.21909408569335936
249,0.5563278222304143,0.008182964946506062,200,7,0.01,0.7,0.8,0.872510290145874
250,0.5562852413437389,0.009961522801636438,100,7,0.01,0.8,0.7,0.5337190151214599
251,0.5562506205282739,0.009493230674283034,100,3,0.05,0.7,0.9,0.20122056007385253
252,0.55620925614931,0.011838911416345823,500,3,0.01,0.9,0.8,1.117813491821289
253,0.55619641784853,0.009261739957580043,300,5,0.01,0.7,0.7,0.7207245826721191
254,0.5560945040066405,0.00771190129257529,500,5,0.01,0.8,0.9,1.6396023750305175
255,0.5559728134851134,0.009343224326616962,100,3,0.05,0.8,0.7,0.2014543056488037
256,0.5558183696440812,0.010779773872356114,500,3,0.01,0.8,0.9,1.006203842163086
257,0.5557888015185368,0.011476883235097561,500,3,0.01,0.8,0.8,1.075500774383545
258,0.5555929865319738,0.007140840672022781,200,7,0.01,0.9,0.9,0.7440725803375244
259,0.5555581726677719,0.00821637477492898,300,5,0.01,0.7,0.8,0.8842055320739746
260,0.555518224968711,0.010099466622988915,300,5,0.01,0.9,0.7,0.7356162071228027
261,0.5554746620556662,0.0084073157185787,200,3,0.05,0.9,0.8,0.38911986351013184
262,0.5554330339856903,0.009500059538952997,300,5,0.01,0.8,0.7,0.7098485946655273
263,0.5553737728534018,0.009782482119559817,100,3,0.05,0.7,0.8,0.2266005039215088
264,0.5553432628794571,0.00902390959629836,300,5,0.01,0.7,0.9,0.7507595539093017
265,0.5552756089420294,0.0050115272888366395,500,7,0.1,0.7,0.9,1.6710607051849364
266,0.5552336166141097,0.010926430512916396,100,3,0.05,0.8,0.8,0.21203322410583497
267,0.5550944801887827,0.009871383019447054,100,3,0.05,0.9,0.9,0.2561190128326416
268,0.555019632685562,0.009763078481050052,100,3,0.05,0.9,0.8,0.2169037342071533
269,0.5549679385336266,0.008991731529039423,300,5,0.01,0.8,0.9,1.149049663543701
270,0.5546477695492966,0.010502062184774846,300,5,0.01,0.9,0.8,0.7182628631591796
271,0.5546416328231721,0.00831001038862938,100,7,0.01,0.7,0.9,0.33560781478881835
272,0.554497626756185,0.010335010528966787,500,3,0.01,0.9,0.9,0.9327318668365479
273,0.5544131283054288,0.01058277772383438,200,5,0.01,0.9,0.7,0.9987071514129638
274,0.5543197346572128,0.01094006697270789,200,5,0.01,0.8,0.8,0.635924243927002
275,0.554093368854877,0.010108407490115639,100,7,0.01,0.7,0.8,0.3714855670928955
276,0.553986333725822,0.00956674441919993,300,5,0.01,0.9,0.9,0.7860315322875977
277,0.5539839494721841,0.008879095036340693,200,5,0.01,0.7,0.9,0.48898820877075194
278,0.553884581484487,0.008813500143858169,100,7,0.01,0.8,0.8,0.4357165813446045
